transaction_id,purchase_date,customer_id,gender,age_group,marketing_channel,product_category,device_type,session_duration_min,email_opens_last_30d,click_through_rate,repeat_customer,quantity,purchase_amount_usd,month,day_name,is_weekend
T100000,2025-04-13,C1155,Female,25-34,Social,Fashion,Desktop,7.8,5,0.079,1,1,126.53,2025-04,Sunday,True
T100001,2025-12-15,C1048,Male,25-34,Email,Electronics,Mobile,5.4,7,0.075,1,1,199.57,2025-12,Monday,False
T100002,2025-09-28,C1083,Female,25-34,Organic Search,Fitness,Mobile,4.8,1,0.071,1,1,110.51,2025-09,Sunday,True
T100003,2025-04-17,C1176,Male,18-24,Paid Search,Fitness,Mobile,7.0,5,0.074,0,2,167.72,2025-04,Thursday,False
T100004,2025-03-13,C1147,Female,55+,Social,Fashion,Mobile,2.8,6,0.09,1,1,83.56,2025-03,Thursday,False
T100005,2025-07-08,C1117,,35-44,Paid Search,Electronics,Desktop,6.3,4,0.074,0,2,354.36,2025-07,Tuesday,False
T100006,2025-01-21,C1062,Female,55+,Referral,Home,Desktop,8.5,9,0.077,1,1,96.28,2025-01,Tuesday,False
T100007,2025-04-13,C1188,Female,25-34,Email,Fashion,Mobile,9.1,5,0.142,1,1,102.04,2025-04,Sunday,True
T100008,2025-05-02,C1048,Female,45-54,Social,Fitness,Mobile,5.3,3,0.113,0,2,204.3,2025-05,Friday,False
T100009,2025-08-03,C1256,Male,45-54,Social,Home,Desktop,6.5,5,0.067,0,1,107.79,2025-08,Sunday,True
T100010,2025-11-27,C1223,Male,35-44,Social,Electronics,Mobile,2.8,4,0.085,0,1,257.37,2025-11,Thursday,False
T100011,2025-03-29,C1140,Male,35-44,Paid Search,Electronics,Desktop,4.6,0,0.083,0,2,489.35,2025-03,Saturday,True
T100012,2025-04-10,C1214,Female,25-34,Organic Search,Beauty,Desktop,2.6,2,0.084,1,1,34.06,2025-04,Thursday,False
T100013,2025-12-26,C1210,Female,45-54,Social,Fitness,Mobile,7.6,2,0.081,0,1,67.72,2025-12,Friday,False
T100014,2025-06-01,C1317,Male,35-44,Paid Search,Electronics,Mobile,8.6,2,0.085,0,1,179.89,2025-06,Sunday,True
T100015,2025-05-11,C1031,Female,18-24,Paid Search,Beauty,Tablet,5.4,4,0.074,0,1,52.69,2025-05,Sunday,True
T100016,2025-05-30,C1157,Male,25-34,Organic Search,Beauty,Mobile,3.9,6,0.064,0,2,66.28,2025-05,Friday,False
T100017,2025-11-05,C1284,,55+,Organic Search,Beauty,Mobile,7.3,5,0.07,1,2,77.23,2025-11,Wednesday,False
T100018,2025-09-15,C1304,,45-54,Paid Search,Fitness,Mobile,4.3,7,0.03,0,3,286.63,2025-09,Monday,False
T100019,2025-12-10,C1285,Non-binary,55+,Paid Search,Fashion,Mobile,8.2,4,0.103,1,1,72.5,2025-12,Wednesday,False
T100020,2025-10-21,C1143,Male,35-44,Paid Search,Home,Desktop,11.3,2,0.096,0,1,50.44,2025-10,Tuesday,False
T100021,2025-07-11,C1018,Female,25-34,Social,Fashion,Desktop,4.3,2,0.142,0,1,86.59,2025-07,Friday,False
T100022,2025-10-04,C1017,Female,25-34,Social,Electronics,Desktop,4.6,4,0.046,0,2,503.77,2025-10,Saturday,True
T100023,2025-06-10,C1256,Male,25-34,Social,Electronics,Mobile,2.9,3,0.07,1,1,144.6,2025-06,Tuesday,False
T100024,2025-11-10,C1077,Male,18-24,Referral,Electronics,Mobile,6.9,2,0.117,1,2,440.91,2025-11,Monday,False
T100025,2025-01-22,C1174,Female,25-34,Organic Search,Electronics,Desktop,6.7,4,0.093,1,2,304.16,2025-01,Wednesday,False
T100026,2025-09-10,C1193,Female,25-34,Email,Electronics,Mobile,5.8,0,0.131,1,1,188.57,2025-09,Wednesday,False
T100027,2025-08-24,C1112,Female,25-34,Email,Electronics,Desktop,6.5,2,0.126,0,1,253.93,2025-08,Sunday,True
T100028,2025-12-11,C1113,Male,55+,Paid Search,Fashion,Mobile,3.9,4,0.009,1,1,92.37,2025-12,Thursday,False
T100029,2025-02-18,C1221,Male,25-34,Referral,Electronics,Desktop,2.3,4,0.09,1,2,472.98,2025-02,Tuesday,False
T100030,2025-02-28,C1165,Male,45-54,Organic Search,Fitness,Desktop,4.6,2,0.09,0,1,100.12,2025-02,Friday,False
