transaction_id,purchase_date,customer_id,gender,age_group,marketing_channel,product_category,device_type,session_duration_min,email_opens_last_30d,click_through_rate,repeat_customer,quantity,purchase_amount_usd
T100000,2025-04-13,C1155,Female,25-34,Social,Fashion,Desktop,7.8,5,0.079,1,1,126.53
T100001,2025-12-15,C1048,Male,25-34,Email,Electronics,Mobile,5.4,7,0.075,1,1,199.57
T100002,2025-09-28,C1083,Female,25-34,Organic Search,Fitness,Mobile,4.8,1,0.071,1,1,110.51
T100003,2025-04-17,C1176,Male,18-24,Paid Search,Fitness,Mobile,7.0,5,0.074,0,2,167.72
T100004,2025-03-13,C1147,Female,55+,Social,Fashion,Mobile,2.8,6,0.09,1,1,83.56
T100005,2025-07-08,C1117,,35-44,Paid Search,Electronics,Desktop,6.3,4,0.074,0,2,354.36
T100006,2025-01-21,C1062,Female,55+,Referral,Home,Desktop,8.5,9,0.077,1,1,96.28
T100007,2025-04-13,C1188,Female,25-34,Email,Fashion,Mobile,9.1,5,0.142,1,1,102.04
T100008,2025-05-02,C1048,Female,45-54,Social,Fitness,Mobile,5.3,3,0.113,0,2,204.3
T100009,2025-08-03,C1256,Male,45-54,Social,Home,Desktop,,5,0.067,0,1,107.79
T100010,2025-11-27,C1223,Male,35-44,Social,Electronics,Mobile,2.8,4,0.085,0,1,257.37
T100011,2025-03-29,C1140,Male,35-44,Paid Search,Electronics,Desktop,4.6,0,0.083,0,2,489.35
T100012,2025-04-10,C1214,Female,25-34,Organic Search,Beauty,Desktop,2.6,2,0.084,1,1,34.06
T100013,2025-12-26,C1210,Female,45-54,Social,Fitness,Mobile,7.6,2,0.081,0,1,67.72
T100014,2025-06-01,C1317,Male,35-44,Paid Search,Electronics,Mobile,8.6,2,0.085,0,1,179.89
T100015,2025-05-11,C1031,Female,18-24,Paid Search,Beauty,Tablet,5.4,4,0.074,0,1,52.69
T100016,2025-05-30,C1157,Male,25-34,Organic Search,Beauty,Mobile,3.9,6,0.064,0,2,66.28
T100017,2025-11-05,C1284,,55+,Organic Search,Beauty,Mobile,7.3,5,0.07,1,2,77.23
T100018,2025-09-15,C1304,,45-54,Paid Search,Fitness,Mobile,4.3,7,0.03,0,3,286.63
T100019,2025-12-10,C1285,Non-binary,55+,Paid Search,Fashion,Mobile,8.2,4,0.103,1,1,72.5
T100020,2025-10-21,C1143,Male,35-44,Paid Search,Home,Desktop,11.3,2,0.096,0,1,50.44
T100021,2025-07-11,C1018,Female,25-34,Social,Fashion,Desktop,4.3,2,0.142,0,1,86.59
